Nombre de la campaña,Nombre del grupo de campañas,Estado de la campaña,Costo,Conversiones,Costo/conv.
PMax: Shopping CN Inteligente,,Habilitado,"CLP1,290,822",192.57,"CLP6,703"
Cosas Nuestras A/B [exacta],,Habilitado,"CLP415,155",46.37,"CLP8,953"
