# ----------------------------------------
# Engagement overview
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
#  
# Start date: 20260101
# End date: 20260501
Nth day,Average engagement time per active user
0000,30.62363238512035
0001,48.263020833333336
0002,28.517045454545453
0003,36.82338902147971
0004,38.602739726027394
0005,36.88333333333333
0006,49.02102102102102
0007,39.30792682926829
0008,40.19718309859155
0009,40.66139240506329
0010,19.46268656716418
0011,37.8
0012,41.078947368421055
0013,44.801223241590215
0014,41.76470588235294
0015,30.20505617977528
0016,33.54107648725213
0017,32.2
0018,36.2972972972973
0019,41.39313984168865
0020,44.247491638795985
0021,47.68316831683168
0022,33.56159420289855
0023,43.62015503875969
0024,50.93015873015873
0025,34.1671826625387
0026,47.14577259475219
0027,61.12759643916914
0028,50.11746031746032
0029,46.74829931972789
0030,42.819241982507286
0031,40.89620758483034
0032,32.829268292682926
0033,38.828629032258064
0034,45.98288508557457
0035,37.413625304136254
0036,37.22933333333334
0037,40.59604519774011
0038,33.57329842931937
0039,30.606280193236714
0040,33.00726392251816
0041,38.54677754677755
0042,43.29050279329609
0043,46.532033426183844
0044,43.264367816091955
0045,32.73972602739726
0046,40.57756563245823
0047,44.18032786885246
0048,85.97027027027028
0049,50.02020202020202
0050,34.310580204778155
0051,31.318611987381704
0052,42.59818731117825
0053,34.26052631578948
0054,38.14047619047619
0055,47.103194103194106
0056,40.16173120728929
0057,23.542168674698797
0058,27.216535433070867
0059,41.14233576642336
0060,41.16295025728988
0061,15.440765268579838
0062,46.1096196868009
0063,45.77205882352941
0064,22.13128038897893
0065,34.565432098765434
0066,27.580750407830344
0067,21.667032967032966
0068,39.87898089171974
0069,29.65645514223195
0070,34.92
0071,30.683646112600535
0072,32.30769230769231
0073,33.0046511627907
0074,37.53076923076923
0075,25.034666666666666
0076,14.558355437665783
0077,35.251612903225805
0078,42.00454545454546
0079,11.026506024096385
0080,12.48033126293996
0081,24.286160249739854
0082,34.49312977099237
0083,45.703770197486534
0084,15.78608695652174
0085,14.883444691907943
0086,41.07360861759425
0087,32.33870967741935
0088,39.71492204899777
0089,36.13271028037383
0090,48.50194552529183
0091,27.96751740139211
0092,49.619909502262445
0093,54.43404255319149
0094,30.93320964749536
0095,42.664092664092664
0096,35.21070811744387
0097,44.7039586919105
0098,39.00702247191011
0099,21.856978085351788
0100,40.78512396694215
0101,27.298335467349553
0102,60.76133651551313
0103,47.846307385229544
0104,52.58222222222222
0105,59.1139896373057
0106,58.7575
0107,49.84880636604775
0108,51.62039045553146
