# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260501
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/collections/mate-para-aventureros/products/mochila-matera-gris,68,61,1.1147540983606556,33.68852459016394,193,1,0
/collections/mate/products/kit-mate-camionero-verde-con-bombilla,68,67,1.0149253731343284,14.238805970149254,199,1,0
/collections/bombilla-mate/products/bombilla-acero-inoxidable-pico-de-loro-tambor-larga,67,29,2.310344827586207,23.344827586206897,133,4,0
/account/addresses,66,26,2.5384615384615383,110.73076923076923,209,0,0
/categoria/nuestros-clasicos/latas-nuestros-clasicos,66,74,0.8918918918918919,1.1486486486486487,111,0,0
/collections/parrillas,66,73,0.9041095890410958,1.904109589041096,115,0,0
/collections/termos/products/set-completo-bolso-mate-simil-madera-termo-bombilla-y-cepillo-copy-1,66,55,1.2,47.45454545454545,200,2,0
/products/mate-sabio-clasico-logo-de-color,66,55,1.2,8.854545454545455,177,0,0
/blogs/recetas-nuestras/mate-vs-te-verde,65,56,1.1607142857142858,47.839285714285715,109,0,0
/collections/el-club-del-mate/products/set-matero-acero-inox-con-mate-y-bombilla-negro,65,43,1.5116279069767442,44.76744186046512,195,2,0
/collections/el-kiosco/products/bizcohos-dulces-don-satur-200grs,65,30,2.1666666666666665,42.766666666666666,184,14,0
/collections/mate/products/juego-de-mate-de-acero-inoxidable-kit-de-3-piezas,64,46,1.391304347826087,45.369565217391305,192,1,0
/collections/mate/products/mate-de-acero-inoxidable-marmolado-blanco-copia-1,64,46,1.391304347826087,21.565217391304348,187,8,0
/products/mate-vidrio-copa-arpillera-virola,63,30,2.1,41.43333333333333,156,3,0
/collections/mate/products/mate-vidrio-copa-eco-carpincho,62,57,1.087719298245614,8.263157894736842,187,1,0
/products/mate-vidrio-eco-cuero-pedestal-ii,62,43,1.441860465116279,9.813953488372093,163,1,0
/products/portatermo-tela-oxford-doble-compartimiento,62,56,1.1071428571428572,11.75,151,1,0
/products/cormillot-mermelada-dulcor-de-higo-x-454-gr,61,46,1.326086956521739,13.58695652173913,167,3,0
/products/mate-imperial-flor-de-liz,61,51,1.196078431372549,1.9215686274509804,99,0,0
/collections/termos/products/termo-mate-todo-en-uno-1-3-l-blanco,60,43,1.3953488372093024,50.72093023255814,177,3,0
/collections/termos/products/termo-mate-todo-en-uno-1-3-l-rosa-pastel,60,49,1.2244897959183674,39,183,3,0
/products/yerba-mate-la-merced-monte-500gr,60,53,1.1320754716981132,11.132075471698114,173,4,0
