# ----------------------------------------
# Página de destino: Página de destino
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260501
Landing page,Average engagement time per active user,Bounce rate,Sessions,Event count,Add to carts,Checkouts,Ecommerce purchases,Session key event rate,Total revenue
/,24.345640543241814,0.9972573603492667,17866,64405,878,424,81,0.02692264636740177,3156556.001134
/collections/cyber-days,113.11618257261411,0.9902402402402403,1332,13905,225,86,34,0.07582582582582582,1140826.000739
/categoria/ofertas-cyber,105.74633596392334,0.9979231568016614,963,12800,158,45,4,0.07061266874350987,67499.000081
/collections/mate-para-aventureros/products/bolso-matero-negro-cafe-claro,40.50211992731678,0.9974066390041494,1928,10789,103,47,7,0.042012448132780086,199899.999166
/products/set-matero-cafe-claro,36.5695067264574,0.9946380697050938,1492,9955,88,55,7,0.05294906166219839,215511.999819
/collections/novedades,97.4861963190184,0.990578734858681,743,9671,109,40,3,0.08075370121130551,85880.999572
/collections/mate,44.675961538461536,0.9758620689655172,1160,7020,52,9,1,0.01896551724137931,88869.999645
/collections/coleccion-premium,57.77023809523809,0.9928789420142421,983,6214,61,22,5,0.04577822990844354,122069.99995
/products/set-completo-bolso-mate-simil-madera-termo-bombilla-y-cepillo-copy-1,35.409177820267686,0.9991356957649092,1157,5978,52,27,2,0.04148660328435609,89989.00045
/collections/yerba-mate,55.839506172839506,0.9741573033707865,890,5905,97,33,9,0.05056179775280899,205869.999441
/collections/bolso-matero,64.84580838323353,0.9676165803108808,772,5171,53,39,9,0.05958549222797927,272908.999772
/products/portatermo-compartimiento-gris-oscuro-copia,30.618756371049948,0.9971291866028709,1045,5111,40,24,4,0.03923444976076555,57160.000296
/products/set-matero-acero-inox-con-mate-y-bombilla-negro,48.537519142419605,0.990450204638472,733,4870,78,47,6,0.07503410641200546,131920.001105
/collections/mate-para-aventureros,39.08108108108108,0.9955869373345102,1133,4823,41,19,2,0.02383053839364519,71959.999832
/products/set-matero-chocolate,68.8389662027833,0.9794520547945206,584,4671,65,51,9,0.10616438356164383,242608.999324
/products/set-completo-bolso-mate-acero-termo-bombilla-y-cepillo,49.20062695924765,0.9957325746799431,703,4605,51,25,3,0.049786628733997154,101979.000657
/collections/el-club-del-mate,41.17557251908397,0.9900990099009901,808,4507,28,10,2,0.019801980198019802,41860.00036
/products/juego-de-mate-de-acero-inoxidable-kit-de-3-piezas-bocon,42.934156378600825,1,542,3661,37,14,2,0.05904059040590406,29980.000075
/collections/kit-y-set-de-mate,56.11254612546126,0.9771929824561404,570,3250,42,19,5,0.05087719298245614,218249.000449
/products/dulce-batata-vainilla-500grs-esnaola,62.87262872628726,0.9904076738609112,417,3230,127,35,3,0.1510791366906475,30073.000361
/products/mate-de-acero-inoxidable-marmolado-blanco-copia-1,56.851662404092075,0.9976019184652278,417,3180,47,21,5,0.06954436450839328,69178.999491
/blogs/mate-con-amigos/contraindicaciones-de-la-yerba-mate,84.55436447166922,0.9971160778658976,1387,2694,1,0,0,0.0007209805335255948,0
(not set),14.830479452054794,0.9926224010731053,1491,2277,2,0,0,0.0013413816230717639,0
