# ----------------------------------------
# Acquisition overview
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
#  
# Start date: 20260101
# End date: 20260501
Nth day,Active users
0000,457
0001,384
0002,352
0003,419
0004,438
0005,360
0006,333
0007,328
0008,355
0009,316
0010,335
0011,325
0012,342
0013,327
0014,340
0015,356
0016,353
0017,375
0018,370
0019,379
0020,299
0021,303
0022,276
0023,258
0024,315
0025,323
0026,343
0027,337
0028,315
0029,294
0030,343
0031,501
0032,451
0033,496
0034,409
0035,411
0036,375
0037,354
0038,382
0039,414
0040,413
0041,481
0042,358
0043,359
0044,348
0045,365
0046,419
0047,366
0048,370
0049,396
0050,293
0051,317
0052,331
0053,380
0054,420
0055,407
0056,439
0057,498
0058,508
0059,548
0060,583
0061,1359
0062,447
0063,408
0064,617
0065,405
0066,613
0067,910
0068,471
0069,457
0070,375
0071,373
0072,377
0073,430
0074,390
0075,375
0076,754
0077,465
0078,660
0079,2490
0080,2415
0081,961
0082,655
0083,557
0084,1150
0085,1347
0086,557
0087,558
0088,449
0089,535
0090,514
0091,431
0092,442
0093,470
0094,539
0095,518
0096,579
0097,581
0098,712
0099,867
0100,484
0101,781
0102,419
0103,501
0104,450
0105,386
0106,400
0107,377
0108,461
0109,377
0110,427
0111,424
0112,434
0113,376
0114,417
0115,668
0116,484
0117,577
0118,467
0119,474
0120,321

# Start date: 20260101
# End date: 20260501
Nth day,New users
0000,1
0001,8
0002,3
0003,5
0004,3
0005,2
0006,1
0007,3
0008,3
0009,5
0010,1
0011,2
0012,1
0013,0
0014,1
0015,3
0016,4
0017,4
0018,4
0019,4
0020,2
0021,2
0022,0
0023,2
0024,2
0025,2
0026,5
0027,4
0028,3
0029,4
0030,4
0031,2
0032,4
0033,2
0034,2
0035,3
0036,1
0037,3
0038,2
0039,0
0040,4
0041,4
0042,2
0043,5
0044,3
0045,1
0046,2
0047,1
0048,4
0049,1
0050,0
0051,1
0052,3
0053,1
0054,1
0055,1
0056,3
0057,3
0058,2
0059,5
0060,1
0061,1
0062,0
0063,3
0064,3
0065,3
0066,3
0067,4
0068,3
0069,4
0070,3
0071,2
0072,3
0073,0
0074,1
0075,2
0076,6
0077,4
0078,2
0079,2
0080,7
0081,4
0082,4
0083,5
0084,3
0085,6
0086,2
0087,5
0088,3
0089,1
0090,6
0091,5
0092,2
0093,4
0094,10
0095,6
0096,4
0097,4
0098,4
0099,1
0100,9
0101,10
0102,3
0103,2
0104,4
0105,2
0106,3
0107,2
0108,3
0109,3
0110,5
0111,2
0112,4
0113,2
0114,7
0115,2
0116,2
0117,3
0118,5
0119,5
0120,3

#  
# Start date: 20260101
# End date: 20260501
First user primary channel group (Default Channel Group),New users
Paid Social,105
Direct,91
Cross-network,79
Organic Search,26
Email,20
Unassigned,19
Paid Search,15
Organic Social,9
Referral,4
Paid Other,3

#  
# Start date: 20260101
# End date: 20260501
Session primary channel group (Default Channel Group),Sessions
Unassigned,63545
Direct,1279
Paid Social,149
Cross-network,98
Email,37
Organic Search,33
Paid Search,17
Organic Social,9
Referral,5
Paid Other,3
Organic Shopping,1

#  
# Start date: 20260101
# End date: 20260501
Session Google Ads campaign,Sessions
PMax: Shopping CN Inteligente,95
Cosas Nuestras A/B [exacta],14

#  
# Start date: 20260101
# End date: 20260430
Cohort,Average 120d value
