# ----------------------------------------
# Acquisition overview
# Account: Cuenta de Google Ads
# Property: www.cosasnuestras.cl - GA4
# ----------------------------------------
#  
# Start date: 20260101
# End date: 20260501
Nth day,Active users
0000,566.2717385625
0001,600.4293480679347
0002,600.4293480679347
0003,600.4293480679347
0004,600.4293480679347
0005,600.4293480679347
0006,600.4293480679347
0007,600.4293480679347
0008,600.4293480679347
0009,600.4293480679347
0010,600.4293480679347
0011,600.4293480679347
0012,600.4293480679347
0013,600.4293480679347
0014,600.4293480679347
0015,600.4293480679347
0016,600.4293480679347
0017,600.4293480679347
0018,600.4293480679347
0019,600.4293480679347
0020,600.4293480679347
0021,600.4293480679347
0022,600.4293480679347
0023,600.4293480679347
0024,600.4293480679347
0025,600.4293480679347
0026,600.4293480679347
0027,600.4293480679347
0028,600.4293480679347
0029,600.4293480679347
0030,600.4293480679347
0031,600.4293480679347
0032,600.4293480679347
0033,600.4293480679347
0034,600.4293480679347
0035,600.4293480679347
0036,600.4293480679347
0037,600.4293480679347
0038,600.4293480679347
0039,600.4293480679347
0040,600.4293480679347
0041,600.4293480679347
0042,600.4293480679347
0043,600.4293480679347
0044,600.4293480679347
0045,600.4293480679347
0046,600.4293480679347
0047,600.4293480679347
0048,600.4293480679347
0049,600.4293480679347
0050,600.4293480679347
0051,600.4293480679347
0052,600.4293480679347
0053,600.4293480679347
0054,600.4293480679347
0055,600.4293480679347
0056,600.4293480679347
0057,600.4293480679347
0058,600.4293480679347
0059,600.4293480679347
0060,600.4293480679347
0061,600.4293480679347
0062,600.4293480679347
0063,600.4293480679347
0064,600.4293480679347
0065,600.4293480679347
0066,600.4293480679347
0067,600.4293480679347
0068,600.4293480679347
0069,600.4293480679347
0070,600.4293480679347
0071,600.4293480679347
0072,600.4293480679347
0073,600.4293480679347
0074,600.4293480679347
0075,600.4293480679347
0076,600.4293480679347
0077,600.4293480679347
0078,600.4293480679347
0079,600.4293480679347
0080,600.4293480679347
0081,600.4293480679347
0082,600.4293480679347
0083,600.4293480679347
0084,600.4293480679347
0085,600.4293480679347
0086,600.4293480679347
0087,600.4293480679347
0088,600.4293480679347
0089,600.4293480679347
0090,600.4293480679347
0091,600.4293480679347
0092,600.4293480679347
0093,600.4293480679347
0094,600.4293480679347
0095,600.4293480679347
0096,600.4293480679347
0097,600.4293480679347
0098,600.4293480679347
0099,600.4293480679347
0100,600.4293480679347
0101,600.4293480679347
0102,600.4293480679347
0103,600.4293480679347
0104,600.4293480679347
0105,600.4293480679347
0106,600.4293480679347
0107,600.4293480679347
0108,600.4293480679347
0109,600.4293480679347
0110,600.4293480679347
0111,600.4293480679347
0112,600.4293480679347
0113,600.4293480679347
0114,600.4293480679347
0115,600.4293480679347
0116,600.4293480679347
0117,600.4293480679347
0118,600.4293480679347
0119,600.4293480679347

#  
# Start date: 20260101
# End date: 20260501
Landing page + query string,Organic Google Search impressions
/,9248
/wp-content/uploads/2018/10/mate-y-pan-2.jpg,4
/categoria/la-parrilla/?orderby=rating&per_page=36,2
/wp-content/uploads/2019/01/mate-refrescante.jpg,2
/categoria/el-club-del-mate/yerba-mate/,1
/wp-content/uploads/2021/02/alfajor-foto-no-principal.jpg,1

#  
# Start date: 20260101
# End date: 20260501
Organic Google Search query,Organic Google Search clicks
bombilla mate,2
tienda de mate,2
tienda de mates,2
bombilla para mate,1
bombillas por mayor,1
cosas nuestras,1
donde comprar el cosito del mate,1
donde comprar productos argentinos en chile,1
donde comprar te de jamaica,1
mate por mayor,1
mates en chile,1
mates y accesorios,1
mates y bombillas,1
porta termo y mate,1
regaliz donde comprar,1
set de mate cuero,1
"si, en chile",1
termo.mate,1
tiendas de mate,1
tiendas de mate en santiago,1
venta de te,1

#  
# Start date: 20260101
# End date: 20260501
Session manual source,Sessions
facebook,146
google,140
go-recovery,45
ActiveCampaign,31
m.facebook.com,8
shopify_email,6
smartlink2.metricool.com,5
chatgpt.com,3
l.instagram.com,3
l.facebook.com,2
cl.search.yahoo.com,1
facebook-SiteLink,1
revie,1
